country,year,age_group,mfpr
afg,2007,65,24.807380
afg,2007,total_15,48.729190
afg,2008,15_19,27.408180
afg,2008,20_24,51.391360
afg,2008,25_29,57.922380
afg,2008,30_34,59.157360
afg,2008,35_39,59.958960
afg,2008,40_44,59.271640
afg,2008,45_49,58.801730
afg,2008,50_54,56.336070
afg,2008,55_59,51.688100
afg,2008,60_64,42.653150
afg,2008,65,24.879100
afg,2008,total_15,48.850020
afg,2009,15_19,27.506830
afg,2009,20_24,51.569890
afg,2009,25_29,58.097290
afg,2009,30_34,59.340030
afg,2009,35_39,60.154830
afg,2009,40_44,59.466820
afg,2009,45_49,58.987960
afg,2009,50_54,56.506740
afg,2009,55_59,51.861150
afg,2009,60_64,42.789080
afg,2009,65,24.953750
afg,2009,total_15,48.994710
afg,2010,15_19,27.621640
afg,2010,20_24,51.772210
afg,2010,25_29,58.297870
afg,2010,30_34,59.547890
afg,2010,35_39,60.380310
afg,2010,40_44,59.693520
afg,2010,45_49,59.207420
afg,2010,50_54,56.703860
afg,2010,55_59,52.052840
afg,2010,60_64,42.941000
afg,2010,65,25.031620
afg,2010,total_15,49.161580
afg,2011,15_19,27.633170
afg,2011,20_24,51.850670
afg,2011,25_29,58.412480
afg,2011,30_34,59.674130
afg,2011,35_39,60.515900
afg,2011,40_44,59.822430
afg,2011,45_49,59.343030
afg,2011,50_54,56.834880
afg,2011,55_59,52.213370
afg,2011,60_64,43.055810
afg,2011,65,25.040540
afg,2011,total_15,49.227510
afg,2012,15_19,27.645520
afg,2012,20_24,51.925280
afg,2012,25_29,58.524600
afg,2012,30_34,59.799060
afg,2012,35_39,60.652940
afg,2012,40_44,59.953290
afg,2012,45_49,59.480440
afg,2012,50_54,56.964720
afg,2012,55_59,52.366760
afg,2012,60_64,43.167340
afg,2012,65,25.040300
afg,2012,total_15,49.291640
afg,2013,15_19,27.659140
afg,2013,20_24,51.998940
afg,2013,25_29,58.632740
afg,2013,30_34,59.923290
afg,2013,35_39,60.791630
afg,2013,40_44,60.087040
afg,2013,45_49,59.619990
afg,2013,50_54,57.095740
afg,2013,55_59,52.516020
afg,2013,60_64,43.277220
afg,2013,65,25.031110
afg,2013,total_15,49.364600
afg,2014,15_19,27.673590
afg,2014,20_24,52.074840
afg,2014,25_29,58.736080
afg,2014,30_34,60.047500
afg,2014,35_39,60.931730
afg,2014,40_44,60.224320
afg,2014,45_49,59.761930
afg,2014,50_54,57.230560
afg,2014,55_59,52.663920
afg,2014,60_64,43.385340
afg,2014,65,25.013140
afg,2014,total_15,49.459840
afg,2015,15_19,27.687780
afg,2015,20_24,52.154810
afg,2015,25_29,58.835690
afg,2015,30_34,60.171370
afg,2015,35_39,61.072620
afg,2015,40_44,60.364620
afg,2015,45_49,59.907310
afg,2015,50_54,57.370350
afg,2015,55_59,52.813150
