country,year,age_group,mpr
afg,2008,15_19,44.3948
afg,2008,20_24,83.529
afg,2008,25_29,95.7248
afg,2008,30_34,97.5224
afg,2008,35_39,98.0267
afg,2008,40_44,96.9539
afg,2008,45_49,96.4488
afg,2008,50_54,93.5309
afg,2008,55_59,86.7109
afg,2008,60_64,73.0149
afg,2008,65,44.1793
afg,2008,total_15,80.4939
afg,2009,15_19,44.3864
afg,2009,20_24,83.5133
afg,2009,25_29,95.7068
afg,2009,30_34,97.504
afg,2009,35_39,98.0082
afg,2009,40_44,96.9354
afg,2009,45_49,96.4303
afg,2009,50_54,93.513
afg,2009,55_59,86.6943
afg,2009,60_64,73.0009
afg,2009,65,44.1708
afg,2009,total_15,80.4526
afg,2010,15_19,44.3774
afg,2010,20_24,83.4964
afg,2010,25_29,95.6874
afg,2010,30_34,97.4842
afg,2010,35_39,97.9883
afg,2010,40_44,96.9156
afg,2010,45_49,96.4104
afg,2010,50_54,93.4937
afg,2010,55_59,86.6764
afg,2010,60_64,72.9858
afg,2010,65,44.1617
afg,2010,total_15,80.4081
afg,2011,15_19,44.3197
afg,2011,20_24,83.4767
afg,2011,25_29,95.6786
afg,2011,30_34,97.4858
afg,2011,35_39,97.9895
afg,2011,40_44,96.894
afg,2011,45_49,96.4094
afg,2011,50_54,93.5143
afg,2011,55_59,86.6988
afg,2011,60_64,72.9673
afg,2011,65,43.9956
afg,2011,total_15,80.3405
afg,2012,15_19,44.2619
afg,2012,20_24,83.4571
afg,2012,25_29,95.6699
afg,2012,30_34,97.4874
afg,2012,35_39,97.9907
afg,2012,40_44,96.8725
afg,2012,45_49,96.4083
afg,2012,50_54,93.535
afg,2012,55_59,86.7211
afg,2012,60_64,72.9487
afg,2012,65,43.8294
afg,2012,total_15,80.2724
afg,2013,15_19,44.2042
afg,2013,20_24,83.4375
afg,2013,25_29,95.6612
afg,2013,30_34,97.489
afg,2013,35_39,97.9918
afg,2013,40_44,96.8509
afg,2013,45_49,96.4073
afg,2013,50_54,93.5556
afg,2013,55_59,86.7435
afg,2013,60_64,72.9301
afg,2013,65,43.6632
afg,2013,total_15,80.2197
afg,2014,15_19,44.1465
afg,2014,20_24,83.4178
afg,2014,25_29,95.6524
afg,2014,30_34,97.4905
afg,2014,35_39,97.993
afg,2014,40_44,96.8293
afg,2014,45_49,96.4063
afg,2014,50_54,93.5762
afg,2014,55_59,86.7659
afg,2014,60_64,72.9115
afg,2014,65,43.4971
afg,2014,total_15,80.2039
afg,2015,15_19,44.0887
afg,2015,20_24,83.3982
afg,2015,25_29,95.6437
afg,2015,30_34,97.4921
afg,2015,35_39,97.9942
afg,2015,40_44,96.8078
afg,2015,45_49,96.4052
afg,2015,50_54,93.5969
afg,2015,55_59,86.7882
afg,2015,60_64,72.8929
afg,2015,65,43.3309
afg,2015,total_15,80.2332
afg,2016,15_19,44.031
afg,2016,20_24,83.3786
afg,2016,25_29,95.635
afg,2016,30_34,97.4937
afg,2016,35_39,97.9953
afg,2016,40_44,96.7862
afg,2016,45_49,96.4042
afg,2016,50_54,93.6175
afg,2016,55_59,86.8106
afg,2016,60_64,72.8743
afg,2016,65,43.1647
afg,2016,total_15,80.2872
afg,2017,15_19,43.9732
afg,2017,20_24,83.3589
afg,2017,25_29,95.6262
afg,2017,30_34,97.4953
afg,2017,35_39,97.9965
afg,2017,40_44,96.7647
afg,2017,45_49,96.4031
afg,2017,50_54,93.6381
afg,2017,55_59,86.8329
afg,2017,60_64,72.8558
afg,2017,65,42.9985
afg,2017,total_15,80.3788
afg,2018,15_19,43.9155
afg,2018,20_24,83.3393
afg,2018,25_29,95.6175
afg,2018,30_34,97.4968
afg,2018,35_39,97.9977
afg,2018,40_44,96.7431
afg,2018,45_49,96.4021
afg,2018,50_54,93.6587
afg,2018,55_59,86.8553
afg,2018,60_64,72.8372
afg,2018,65,42.8323
afg,2018,total_15,80.4952
afg,2019,15_19,43.8577
afg,2019,20_24,83.3196
afg,2019,25_29,95.6087
afg,2019,30_34,97.4984
afg,2019,35_39,97.9988
afg,2019,40_44,96.7216
afg,2019,45_49,96.401
afg,2019,50_54,93.6794
afg,2019,55_59,86.8776
afg,2019,60_64,72.8186
afg,2019,65,42.6662
afg,2019,total_15,80.6196
afg,2020,15_19,43.8
afg,2020,20_24,83.3
afg,2020,25_29,95.6
afg,2020,30_34,97.5
afg,2020,35_39,98
afg,2020,40_44,96.7
afg,2020,45_49,96.4
afg,2020,50_54,93.7
afg,2020,55_59,86.9
afg,2020,60_64,72.8
afg,2020,65,42.5
afg,2020,total_15,80.7412
alb,1990,15_19,48.1346
alb,1990,20_24,76.7865
alb,1990,25_29,82.0684
alb,1990,30_34,87.8545
alb,1990,35_39,90.6693
alb,1990,40_44,92.4079
alb,1990,45_49,94.7387
alb,1990,50_54,88.6018
alb,1990,55_59,78.3003
alb,1990,60_64,47.1353
alb,1990,65,29.7401
alb,1990,total_15,74.8454
alb,1991,15_19,49.7129
alb,1991,20_24,78.3853
alb,1991,25_29,80.1513
alb,1991,30_34,86.177
alb,1991,35_39,89.8474
alb,1991,40_44,91.363
alb,1991,45_49,94.459
alb,1991,50_54,88.6278
alb,1991,55_59,80.486
alb,1991,60_64,47.829
alb,1991,65,33.3403
alb,1991,total_15,75.0954
alb,1992,15_19,49.6833
alb,1992,20_24,78.5071
alb,1992,25_29,79.5923
alb,1992,30_34,85.7075
alb,1992,35_39,89.6152
alb,1992,40_44,91.0784
alb,1992,45_49,94.3784
alb,1992,50_54,88.6074
alb,1992,55_59,81.0049
alb,1992,60_64,48.1544
alb,1992,65,34.0879
alb,1992,total_15,75.0302
alb,1993,15_19,49.6819
alb,1993,20_24,78.2888
alb,1993,25_29,80.4452
alb,1993,30_34,86.4253
alb,1993,35_39,89.9702
alb,1993,40_44,91.5143
alb,1993,45_49,94.5015
alb,1993,50_54,88.636
alb,1993,55_59,80.1984
alb,1993,60_64,47.6685
alb,1993,65,32.9158
alb,1993,total_15,75.0982
alb,1994,15_19,49.4576
alb,1994,20_24,77.9727
alb,1994,25_29,81.0728
alb,1994,30_34,86.9613
alb,1994,35_39,90.235
alb,1994,40_44,91.8436
alb,1994,45_49,94.5929
alb,1994,50_54,88.6444
alb,1994,55_59,79.5418
alb,1994,60_64,47.3641
alb,1994,65,31.9086
alb,1994,total_15,75.0131
alb,1995,15_19,48.7557
alb,1995,20_24,77.3029
alb,1995,25_29,81.7699
alb,1995,30_34,87.5762
alb,1995,35_39,90.5359
alb,1995,40_44,92.2286
alb,1995,45_49,94.695
alb,1995,50_54,88.6277
alb,1995,55_59,78.7131
alb,1995,60_64,47.143
alb,1995,65,30.5185
alb,1995,total_15,74.7411
alb,1996,15_19,48.0002
alb,1996,20_24,76.6785
alb,1996,25_29,82.1159
alb,1996,30_34,87.9005
alb,1996,35_39,90.691
alb,1996,40_44,92.4381
alb,1996,45_49,94.7457
alb,1996,50_54,88.5956
alb,1996,55_59,78.2288
alb,1996,60_64,47.144
alb,1996,65,29.5964
alb,1996,total_15,74.5412
alb,1997,15_19,48.7917
alb,1997,20_24,77.334
alb,1997,25_29,81.7471
alb,1997,30_34,87.5554
alb,1997,35_39,90.5259
alb,1997,40_44,92.2154
alb,1997,45_49,94.6916
alb,1997,50_54,88.629
alb,1997,55_59,78.7427
alb,1997,60_64,47.1468
alb,1997,65,30.5715
alb,1997,total_15,74.596
alb,1998,15_19,47.7987
alb,1998,20_24,76.5183
alb,1998,25_29,82.1787
alb,1998,30_34,87.9625
alb,1998,35_39,90.72
alb,1998,40_44,92.4791
alb,1998,45_49,94.7549
alb,1998,50_54,88.5859
alb,1998,55_59,78.1306
alb,1998,60_64,47.1621
alb,1998,65,29.393
alb,1998,total_15,74.1574
alb,1999,15_19,46.7533
alb,1999,20_24,75.7076
alb,1999,25_29,82.3922
alb,1999,30_34,88.1921
alb,1999,35_39,90.8237
alb,1999,40_44,92.6358
alb,1999,45_49,94.7858
alb,1999,50_54,88.5316
alb,1999,55_59,77.7426
alb,1999,60_64,47.3252
alb,1999,65,28.5023
alb,1999,total_15,73.5982
alb,2000,15_19,45.8546
