country,year,age_group,mfpr
afg,2006,60_64,42.42051
afg,2006,65,24.73639
afg,2006,total_15,48.63212
afg,2007,15_19,27.32603
afg,2007,20_24,51.23695
afg,2007,25_29,57.771480000000004
afg,2007,30_34,59.00099
afg,2007,35_39,59.793969999999995
afg,2007,40_44,59.10896999999999
afg,2007,45_49,58.646440000000005
afg,2007,50_54,56.19016
afg,2007,55_59,51.53485
afg,2007,60_64,42.53118
afg,2007,65,24.80738
afg,2007,total_15,48.72919
afg,2008,15_19,27.408179999999998
afg,2008,20_24,51.39136
afg,2008,25_29,57.922380000000004
afg,2008,30_34,59.15736
afg,2008,35_39,59.95896
afg,2008,40_44,59.271640000000005
afg,2008,45_49,58.801730000000006
afg,2008,50_54,56.33606999999999
afg,2008,55_59,51.6881
afg,2008,60_64,42.65315
afg,2008,65,24.8791
afg,2008,total_15,48.85002
afg,2009,15_19,27.506829999999997
afg,2009,20_24,51.56989
afg,2009,25_29,58.09729
afg,2009,30_34,59.340030000000006
afg,2009,35_39,60.154830000000004
afg,2009,40_44,59.46682
afg,2009,45_49,58.98796
afg,2009,50_54,56.50674
afg,2009,55_59,51.86115
afg,2009,60_64,42.78908
afg,2009,65,24.95375
afg,2009,total_15,48.99471
afg,2010,15_19,27.621640000000003
afg,2010,20_24,51.77221
afg,2010,25_29,58.297869999999996
afg,2010,30_34,59.54789
afg,2010,35_39,60.380309999999994
afg,2010,40_44,59.69351999999999
afg,2010,45_49,59.20741999999999
afg,2010,50_54,56.70386
afg,2010,55_59,52.05284
afg,2010,60_64,42.941
afg,2010,65,25.03162
afg,2010,total_15,49.16158
afg,2011,15_19,27.63317
afg,2011,20_24,51.85067
afg,2011,25_29,58.41248
afg,2011,30_34,59.674130000000005
afg,2011,35_39,60.5159
afg,2011,40_44,59.822430000000004
afg,2011,45_49,59.343030000000006
afg,2011,50_54,56.834880000000005
afg,2011,55_59,52.21337
afg,2011,60_64,43.05581
afg,2011,65,25.04054
afg,2011,total_15,49.227509999999995
afg,2012,15_19,27.64552
afg,2012,20_24,51.92528
afg,2012,25_29,58.5246
afg,2012,30_34,59.79906
afg,2012,35_39,60.65294
afg,2012,40_44,59.95329
afg,2012,45_49,59.48044
afg,2012,50_54,56.96471999999999
afg,2012,55_59,52.36676
afg,2012,60_64,43.16734
afg,2012,65,25.0403
afg,2012,total_15,49.29164
afg,2013,15_19,27.65914
afg,2013,20_24,51.998940000000005
afg,2013,25_29,58.632740000000005
afg,2013,30_34,59.92329
afg,2013,35_39,60.791630000000005
afg,2013,40_44,60.08704
afg,2013,45_49,59.61999
afg,2013,50_54,57.09574
afg,2013,55_59,52.51602
afg,2013,60_64,43.27722
afg,2013,65,25.03111
afg,2013,total_15,49.3646
afg,2014,15_19,27.67359
afg,2014,20_24,52.07484
afg,2014,25_29,58.73608
afg,2014,30_34,60.0475
afg,2014,35_39,60.93173
afg,2014,40_44,60.22432
afg,2014,45_49,59.76193000000001
afg,2014,50_54,57.23056
afg,2014,55_59,52.66392
afg,2014,60_64,43.38534
afg,2014,65,25.01314
afg,2014,total_15,49.45984
afg,2015,15_19,27.68778
afg,2015,20_24,52.15481
afg,2015,25_29,58.83569
afg,2015,30_34,60.171369999999996
afg,2015,35_39,61.07261999999999
afg,2015,40_44,60.364619999999995
afg,2015,45_49,59.907309999999995
afg,2015,50_54,57.37035
afg,2015,55_59,52.81315
afg,2015,60_64,43.49075
afg,2015,65,24.987370000000002
afg,2015,total_15,49.58263
afg,2016,15_19,27.702070000000003
afg,2016,20_24,52.242129999999996
afg,2016,25_29,58.944390000000006
afg,2016,30_34,60.299530000000004
afg,2016,35_39,61.20844
afg,2016,40_44,60.49638
afg,2016,45_49,60.04905
afg,2016,50_54,57.50934
afg,2016,55_59,52.965230000000005
afg,2016,60_64,43.601620000000004
afg,2016,65,24.995379999999997
afg,2016,total_15,49.72482
afg,2017,15_19,27.715629999999997
afg,2017,20_24,52.330890000000004
afg,2017,25_29,59.0491
afg,2017,30_34,60.42879
afg,2017,35_39,61.34591999999999
afg,2017,40_44,60.630559999999996
afg,2017,45_49,60.1923
afg,2017,50_54,57.65002
afg,2017,55_59,53.11534
afg,2017,60_64,43.70458
afg,2017,65,24.99483
afg,2017,total_15,49.889379999999996
afg,2018,15_19,27.72898
afg,2018,20_24,52.420590000000004
afg,2018,25_29,59.15128000000001
afg,2018,30_34,60.55773000000001
afg,2018,35_39,61.485330000000005
afg,2018,40_44,60.76744
afg,2018,45_49,60.336980000000004
afg,2018,50_54,57.793130000000005
afg,2018,55_59,53.26566
afg,2018,60_64,43.80288
afg,2018,65,24.98617
afg,2018,total_15,50.06884
afg,2019,15_19,27.742079999999998
afg,2019,20_24,52.509980000000006
afg,2019,25_29,59.253930000000004
afg,2019,30_34,60.68411
afg,2019,35_39,61.6266
afg,2019,40_44,60.90688000000001
afg,2019,45_49,60.483340000000005
afg,2019,50_54,57.938669999999995
afg,2019,55_59,53.418209999999995
afg,2019,60_64,43.89905
afg,2019,65,24.96975
afg,2019,total_15,50.252720000000004
afg,2020,15_19,27.754409999999996
afg,2020,20_24,52.59848
afg,2020,25_29,59.35958
afg,2020,30_34,60.80666
afg,2020,35_39,61.769290000000005
afg,2020,40_44,61.04821
afg,2020,45_49,60.63247
afg,2020,50_54,58.086769999999994
afg,2020,55_59,53.57421
afg,2020,60_64,43.99532
afg,2020,65,24.94605
afg,2020,total_15,50.4341
alb,1990,15_19,46.52534
alb,1990,20_24,66.67304
alb,1990,25_29,73.31786
alb,1990,30_34,76.85533000000001
alb,1990,35_39,80.67924000000001
alb,1990,40_44,82.76392
alb,1990,45_49,81.32806
alb,1990,50_54,73.97005
alb,1990,55_59,53.927440000000004
alb,1990,60_64,33.88217
alb,1990,65,18.07601
alb,1990,total_15,63.978080000000006
alb,1991,15_19,48.0806
alb,1991,20_24,68.704
alb,1991,25_29,72.04865
alb,1991,30_34,75.5844
alb,1991,35_39,80.10565
alb,1991,40_44,82.54884
alb,1991,45_49,81.74129
alb,1991,50_54,74.12966
alb,1991,55_59,55.81398000000001
alb,1991,60_64,34.5231
alb,1991,65,20.812520000000003
alb,1991,total_15,64.43831999999999
alb,1992,15_19,47.997370000000004
alb,1992,20_24,68.86348000000001
alb,1992,25_29,71.62747
alb,1992,30_34,75.1488
alb,1992,35_39,79.8624
alb,1992,40_44,82.42667
alb,1992,45_49,81.83894000000001
alb,1992,50_54,74.0945
alb,1992,55_59,56.528769999999994
alb,1992,60_64,34.955740000000006
alb,1992,65,21.39497
alb,1992,total_15,64.35133
alb,1993,15_19,48.04059
alb,1993,20_24,68.3968
alb,1993,25_29,72.13625
alb,1993,30_34,75.66965
alb,1993,35_39,80.10300000000001
alb,1993,40_44,82.50948000000001
alb,1993,45_49,81.72310999999999
alb,1993,50_54,73.76003
alb,1993,55_59,55.77534
alb,1993,60_64,34.75322
alb,1993,65,20.45669
alb,1993,total_15,64.2048
alb,1994,15_19,47.83018
alb,1994,20_24,67.84636
alb,1994,25_29,72.47478000000001
alb,1994,30_34,76.01234000000001
alb,1994,35_39,80.24061
alb,1994,40_44,82.53745
alb,1994,45_49,81.61931
alb,1994,50_54,73.52006999999999
alb,1994,55_59,55.18656
alb,1994,60_64,34.673770000000005
alb,1994,65,19.677429999999998
alb,1994,total_15,63.945080000000004
alb,1995,15_19,47.113170000000004
alb,1995,20_24,66.88379
alb,1995,25_29,72.83117
alb,1995,30_34,76.36543
alb,1995,35_39,80.35825
alb,1995,40_44,82.54543000000001
alb,1995,45_49,81.44976
alb,1995,50_54,73.36743
alb,1995,55_59,54.52114
alb,1995,60_64,34.64066
alb,1995,65,18.645220000000002
alb,1995,total_15,63.49783000000001
alb,1996,15_19,46.316959999999995
alb,1996,20_24,66.07793000000001
alb,1996,25_29,72.96112
alb,1996,30_34,76.51791
alb,1996,35_39,80.38226
alb,1996,40_44,82.49611999999999
alb,1996,45_49,81.29219
alb,1996,50_54,73.33835
alb,1996,55_59,54.095130000000005
alb,1996,60_64,34.78942
alb,1996,65,18.08435
alb,1996,total_15,63.22257
alb,1997,15_19,47.137840000000004
alb,1997,20_24,66.78789
alb,1997,25_29,72.68936
alb,1997,30_34,76.24265
alb,1997,35_39,80.30369
alb,1997,40_44,82.44707
alb,1997,45_49,81.34703
alb,1997,50_54,73.35748000000001
alb,1997,55_59,54.1019
alb,1997,60_64,34.83967
alb,1997,65,18.94763
alb,1997,total_15,63.34765
alb,1998,15_19,46.09316
alb,1998,20_24,65.71732
alb,1998,25_29,72.89683000000001
alb,1998,30_34,76.37631999999999
alb,1998,35_39,80.35511
alb,1998,40_44,82.416
alb,1998,45_49,81.14676999999999
alb,1998,50_54,73.38909
alb,1998,55_59,53.65981
alb,1998,60_64,34.88785
alb,1998,65,18.22741
alb,1998,total_15,62.87125
alb,1999,15_19,44.97761
alb,1999,20_24,64.6889
alb,1999,25_29,72.96585999999999
alb,1999,30_34,76.33794
alb,1999,35_39,80.3206
alb,1999,40_44,82.3672
alb,1999,45_49,80.99682
alb,1999,50_54,73.46288
alb,1999,55_59,53.5624
alb,1999,60_64,35.012890000000006
alb,1999,65,17.73198
alb,1999,total_15,62.33116999999999
alb,2000,15_19,44.01425
alb,2000,20_24,63.835969999999996
alb,2000,25_29,72.94023
alb,2000,30_34,76.22707
alb,2000,35_39,80.22968
alb,2000,40_44,82.32604
alb,2000,45_49,80.89923
alb,2000,50_54,73.53365
alb,2000,55_59,53.66666
alb,2000,60_64,35.14352
alb,2000,65,17.43214
alb,2000,total_15,61.8034
alb,2001,15_19,43.005759999999995
alb,2001,20_24,63.08213000000001
alb,2001,25_29,72.87916
alb,2001,30_34,76.15424
alb,2001,35_39,80.05914
alb,2001,40_44,82.24968
alb,2001,45_49,80.78335
alb,2001,50_54,73.58411
alb,2001,55_59,53.796890000000005
alb,2001,60_64,35.28552
alb,2001,65,17.04352
alb,2001,total_15,61.36034
alb,2002,15_19,42.59033
alb,2002,20_24,62.8161
alb,2002,25_29,72.7979
alb,2002,30_34,76.1394
alb,2002,35_39,79.91509
alb,2002,40_44,82.21595
alb,2002,45_49,80.72211999999999
alb,2002,50_54,73.59115
alb,2002,55_59,53.897969999999994
alb,2002,60_64,35.32655
alb,2002,65,16.89919
alb,2002,total_15,61.10531999999999
alb,2003,15_19,42.15752
alb,2003,20_24,62.62862
alb,2003,25_29,72.72698000000001
alb,2003,30_34,76.22498
alb,2003,35_39,79.83194
alb,2003,40_44,82.21745
alb,2003,45_49,80.74161
alb,2003,50_54,73.71788000000001
alb,2003,55_59,54.27268
alb,2003,60_64,35.50388
alb,2003,65,16.95968
alb,2003,total_15,60.95535
alb,2004,15_19,41.7235
alb,2004,20_24,62.45028000000001
alb,2004,25_29,72.67539000000001
alb,2004,30_34,76.29912
alb,2004,35_39,79.77150999999999
alb,2004,40_44,82.20166
alb,2004,45_49,80.77037
alb,2004,50_54,73.84557
alb,2004,55_59,54.64795
alb,2004,60_64,35.70238
alb,2004,65,17.013289999999998
alb,2004,total_15,60.82046999999999
alb,2005,15_19,41.28609
alb,2005,20_24,62.27285
alb,2005,25_29,72.66606
alb,2005,30_34,76.33628
alb,2005,35_39,79.7421
alb,2005,40_44,82.15819
alb,2005,45_49,80.80207
alb,2005,50_54,73.976
alb,2005,55_59,55.00192
alb,2005,60_64,35.919270000000004
alb,2005,65,17.060029999999998
alb,2005,total_15,60.69149
alb,2006,15_19,40.8488
alb,2006,20_24,62.105630000000005
alb,2006,25_29,72.71474
alb,2006,30_34,76.36572
alb,2006,35_39,79.74154
alb,2006,40_44,82.09588000000001
alb,2006,45_49,80.82288
alb,2006,50_54,74.1141
alb,2006,55_59,55.324769999999994
alb,2006,60_64,36.1003
alb,2006,65,17.13648
alb,2006,total_15,60.55469
alb,2007,15_19,40.40606
alb,2007,20_24,61.952
alb,2007,25_29,72.7812
alb,2007,30_34,76.36153
alb,2007,35_39,79.78045999999999
alb,2007,40_44,82.00771
alb,2007,45_49,80.85185
alb,2007,50_54,74.24087
alb,2007,55_59,55.647
alb,2007,60_64,36.30625
alb,2007,65,17.1974
