country,year,age_group,flf
afg,2007,65,21.287780
afg,2007,total_15,1062.820000
afg,2008,15_19,143.135700
afg,2008,20_24,210.527900
afg,2008,25_29,172.301500
afg,2008,30_34,143.299900
afg,2008,35_39,123.818200
afg,2008,40_44,99.041560
afg,2008,45_49,78.805380
afg,2008,50_54,57.312970
afg,2008,55_59,41.397060
afg,2008,60_64,25.241270
afg,2008,65,22.316120
afg,2008,total_15,1117.198000
afg,2009,15_19,151.759000
afg,2009,20_24,222.998300
afg,2009,25_29,182.381100
afg,2009,30_34,151.198700
afg,2009,35_39,130.566400
afg,2009,40_44,104.554200
afg,2009,45_49,83.166070
afg,2009,50_54,60.531670
afg,2009,55_59,43.167690
afg,2009,60_64,26.676200
afg,2009,65,23.477650
afg,2009,total_15,1180.477000
afg,2010,15_19,161.972800
afg,2010,20_24,237.685200
afg,2010,25_29,194.176400
afg,2010,30_34,160.590400
afg,2010,35_39,138.445000
afg,2010,40_44,110.978100
afg,2010,45_49,88.321210
afg,2010,50_54,64.289280
afg,2010,55_59,45.499770
afg,2010,60_64,28.226710
afg,2010,65,24.825000
afg,2010,total_15,1255.010000
afg,2011,15_19,169.970600
afg,2011,20_24,249.698100
afg,2011,25_29,204.345500
afg,2011,30_34,168.904500
afg,2011,35_39,145.336000
afg,2011,40_44,116.681100
afg,2011,45_49,92.794910
afg,2011,50_54,67.453650
afg,2011,55_59,47.644360
afg,2011,60_64,29.385740
afg,2011,65,26.322930
afg,2011,total_15,1318.537000
afg,2012,15_19,179.072500
afg,2012,20_24,263.045400
afg,2012,25_29,215.699400
afg,2012,30_34,178.319500
afg,2012,35_39,153.014700
afg,2012,40_44,123.046700
afg,2012,45_49,97.851200
afg,2012,50_54,71.026410
afg,2012,55_59,50.249270
afg,2012,60_64,30.602820
afg,2012,65,27.956120
afg,2012,total_15,1389.884000
afg,2013,15_19,188.739000
afg,2013,20_24,277.589100
afg,2013,25_29,228.079700
afg,2013,30_34,188.664700
afg,2013,35_39,161.395400
afg,2013,40_44,129.949000
afg,2013,45_49,103.390100
afg,2013,50_54,74.953320
afg,2013,55_59,53.229820
afg,2013,60_64,31.929330
afg,2013,65,29.681990
afg,2013,total_15,1467.601000
afg,2014,15_19,198.169600
afg,2014,20_24,293.164900
afg,2014,25_29,241.254000
afg,2014,30_34,199.660900
afg,2014,35_39,170.350500
afg,2014,40_44,137.206500
afg,2014,45_49,109.254900
afg,2014,50_54,79.159020
afg,2014,55_59,56.447630
afg,2014,60_64,33.443470
afg,2014,65,31.433460
afg,2014,total_15,1549.545000
afg,2015,15_19,206.888000
afg,2015,20_24,309.633300
afg,2015,25_29,255.078800
afg,2015,30_34,211.128100
afg,2015,35_39,179.805600
afg,2015,40_44,144.715800
afg,2015,45_49,115.337400
afg,2015,50_54,83.595300
afg,2015,55_59,59.816330
afg,2015,60_64,35.191540
afg,2015,65,33.174610
afg,2015,total_15,1634.365000
afg,2016,15_19,214.288500
afg,2016,20_24,326.083000
afg,2016,25_29,268.873000
afg,2016,30_34,222.565100
afg,2016,35_39,189.343900
afg,2016,40_44,152.131200
afg,2016,45_49,121.224700
afg,2016,50_54,87.840740
afg,2016,55_59,62.931630
afg,2016,60_64,36.836710
afg,2016,65,35.035450
afg,2016,total_15,1717.154000
afg,2017,15_19,221.041500
afg,2017,20_24,343.530500
afg,2017,25_29,283.236600
