country,year,age_group,fpr
afg,2007,15_19,8.916356
afg,2007,20_24,16.193579999999997
afg,2007,25_29,16.393829999999998
afg,2007,30_34,16.793429999999997
afg,2007,35_39,17.74964
afg,2007,40_44,17.50678
afg,2007,45_49,17.30509
afg,2007,50_54,15.7981
afg,2007,55_59,14.27498
afg,2007,60_64,11.15311
afg,2007,65,6.386015
afg,2007,total_15,14.4054
afg,2008,15_19,9.110944
afg,2008,20_24,16.546979999999998
afg,2008,25_29,16.7516
afg,2008,30_34,17.15992
afg,2008,35_39,18.137
afg,2008,40_44,17.89414
afg,2008,45_49,17.69246
afg,2008,50_54,16.15173
afg,2008,55_59,14.594520000000001
afg,2008,60_64,11.40276
afg,2008,65,6.528961
afg,2008,total_15,14.7189
afg,2009,15_19,9.337053
afg,2009,20_24,16.957629999999998
afg,2009,25_29,17.16733
afg,2009,30_34,17.58578
afg,2009,35_39,18.58711
afg,2009,40_44,18.34425
afg,2009,45_49,18.142570000000003
afg,2009,50_54,16.56265
afg,2009,55_59,14.96582
afg,2009,60_64,11.692860000000001
afg,2009,65,6.695064
afg,2009,total_15,15.083910000000001
afg,2010,15_19,9.593721
afg,2010,20_24,17.42379
afg,2010,25_29,17.63925
afg,2010,30_34,18.0692
afg,2010,35_39,19.09805
afg,2010,40_44,18.8552
afg,2010,45_49,18.65351
afg,2010,50_54,17.0291
afg,2010,55_59,15.3873
afg,2010,60_64,12.022160000000001
afg,2010,65,6.883616
afg,2010,total_15,15.49841
afg,2011,15_19,9.684349000000001
afg,2011,20_24,17.63141
afg,2011,25_29,17.895329999999998
afg,2011,30_34,18.35228
afg,2011,35_39,19.40825
afg,2011,40_44,19.179679999999998
afg,2011,45_49,18.96816
afg,2011,50_54,17.31619
afg,2011,55_59,15.698570000000002
afg,2011,60_64,12.25994
afg,2011,65,7.025253999999999
afg,2011,total_15,15.72049
afg,2012,15_19,9.774977
afg,2012,20_24,17.839029999999998
afg,2012,25_29,18.1514
afg,2012,30_34,18.635360000000002
afg,2012,35_39,19.71844
afg,2012,40_44,19.50416
afg,2012,45_49,19.28281
afg,2012,50_54,17.603279999999998
afg,2012,55_59,16.00984
afg,2012,60_64,12.49773
afg,2012,65,7.166892999999999
afg,2012,total_15,15.942079999999999
afg,2013,15_19,9.865605
afg,2013,20_24,18.04665
afg,2013,25_29,18.40748
afg,2013,30_34,18.91844
afg,2013,35_39,20.02864
afg,2013,40_44,19.82864
afg,2013,45_49,19.59746
afg,2013,50_54,17.89037
afg,2013,55_59,16.32111
afg,2013,60_64,12.735510000000001
afg,2013,65,7.3085309999999994
afg,2013,total_15,16.16607
afg,2014,15_19,9.956233000000001
afg,2014,20_24,18.25427
afg,2014,25_29,18.66355
afg,2014,30_34,19.201520000000002
afg,2014,35_39,20.338829999999998
afg,2014,40_44,20.15312
afg,2014,45_49,19.912110000000002
afg,2014,50_54,18.17746
afg,2014,55_59,16.632379999999998
afg,2014,60_64,12.9733
afg,2014,65,7.45017
afg,2014,total_15,16.39641
afg,2015,15_19,10.04686
afg,2015,20_24,18.46189
afg,2015,25_29,18.919629999999998
afg,2015,30_34,19.4846
afg,2015,35_39,20.64903
afg,2015,40_44,20.4776
afg,2015,45_49,20.226760000000002
afg,2015,50_54,18.46455
afg,2015,55_59,16.94365
afg,2015,60_64,13.211079999999999
afg,2015,65,7.591808
afg,2015,total_15,16.63478
afg,2016,15_19,10.13749
afg,2016,20_24,18.66951
afg,2016,25_29,19.1757
afg,2016,30_34,19.76768
afg,2016,35_39,20.959220000000002
afg,2016,40_44,20.80208
afg,2016,45_49,20.5414
afg,2016,50_54,18.75164
afg,2016,55_59,17.254920000000002
afg,2016,60_64,13.44886
afg,2016,65,7.733447
afg,2016,total_15,16.878770000000003
afg,2017,15_19,10.22812
afg,2017,20_24,18.87714
afg,2017,25_29,19.43178
afg,2017,30_34,20.05076
afg,2017,35_39,21.26942
afg,2017,40_44,21.12656
afg,2017,45_49,20.85605
afg,2017,50_54,19.038729999999997
afg,2017,55_59,17.56619
afg,2017,60_64,13.68665
afg,2017,65,7.875085
afg,2017,total_15,17.13028
