country,year,age_group,mlf0
alb,2016,50_54,88.185250
alb,2016,55_59,80.459440
alb,2016,60_64,36.775020
alb,2016,65,43.664500
alb,2016,total_15,922.046500
alb,2017,15_19,55.878400
alb,2017,20_24,99.585930
alb,2017,25_29,123.270500
alb,2017,30_34,126.488900
alb,2017,35_39,95.055820
alb,2017,40_44,86.984670
alb,2017,45_49,89.567920
alb,2017,50_54,86.315700
alb,2017,55_59,80.223500
alb,2017,60_64,39.900710
alb,2017,65,44.401780
alb,2017,total_15,927.673800
alb,2018,15_19,54.507550
alb,2018,20_24,99.461750
alb,2018,25_29,119.039400
alb,2018,30_34,130.736900
alb,2018,35_39,101.857300
alb,2018,40_44,84.873230
alb,2018,45_49,90.312950
alb,2018,50_54,84.641300
alb,2018,55_59,78.986390
alb,2018,60_64,43.220550
alb,2018,65,45.267480
alb,2018,total_15,932.904700
alb,2019,15_19,53.014850
alb,2019,20_24,99.150230
alb,2019,25_29,115.007400
alb,2019,30_34,133.336000
alb,2019,35_39,108.746800
alb,2019,40_44,84.138130
alb,2019,45_49,90.609250
alb,2019,50_54,83.301960
alb,2019,55_59,77.421740
alb,2019,60_64,45.996370
alb,2019,65,46.397720
alb,2019,total_15,937.120500
alb,2020,15_19,51.438990
alb,2020,20_24,98.172620
alb,2020,25_29,112.050100
alb,2020,30_34,133.917300
alb,2020,35_39,114.885900
alb,2020,40_44,85.588810
alb,2020,45_49,90.021380
alb,2020,50_54,82.392140
alb,2020,55_59,75.970410
alb,2020,60_64,47.790080
alb,2020,65,47.876950
alb,2020,total_15,940.104700
dza,2010,15_19,745.325900
dza,2010,20_24,984.291500
dza,2010,25_29,1664.574000
dza,2010,30_34,1444.162000
dza,2010,35_39,1242.966000
dza,2010,40_44,1065.134000
dza,2010,45_49,883.356800
dza,2010,50_54,653.101800
dza,2010,55_59,440.499000
dza,2010,60_64,120.728000
dza,2010,65,71.601300
dza,2010,total_15,9315.740000
dza,2011,15_19,722.196700
dza,2011,20_24,980.490400
dza,2011,25_29,1686.917000
dza,2011,30_34,1494.757000
dza,2011,35_39,1281.059000
dza,2011,40_44,1095.235000
dza,2011,45_49,918.111500
dza,2011,50_54,683.463800
dza,2011,55_59,459.544900
dza,2011,60_64,131.106400
dza,2011,65,73.200590
dza,2011,total_15,9526.082000
dza,2012,15_19,692.677700
dza,2012,20_24,976.566300
dza,2012,25_29,1696.927000
dza,2012,30_34,1548.357000
dza,2012,35_39,1320.943000
dza,2012,40_44,1125.336000
dza,2012,45_49,950.141200
dza,2012,50_54,720.692700
dza,2012,55_59,473.177600
dza,2012,60_64,144.023800
dza,2012,65,74.855510
dza,2012,total_15,9723.697000
dza,2013,15_19,661.351000
dza,2013,20_24,969.845800
dza,2013,25_29,1697.005000
dza,2013,30_34,1600.458000
dza,2013,35_39,1362.849000
dza,2013,40_44,1155.983000
dza,2013,45_49,980.022500
dza,2013,50_54,761.829500
dza,2013,55_59,484.621200
dza,2013,60_64,158.004500
dza,2013,65,76.767050
dza,2013,total_15,9908.737000
dza,2014,15_19,635.414700
dza,2014,20_24,956.318600
dza,2014,25_29,1692.135000
dza,2014,30_34,1644.767000
dza,2014,35_39,1407.583000
dza,2014,40_44,1188.331000
dza,2014,45_49,1009.227000
dza,2014,50_54,802.259300
dza,2014,55_59,499.112700
dza,2014,60_64,170.893200
dza,2014,65,79.231900
dza,2014,total_15,10085.270000
dza,2015,15_19,619.340800
dza,2015,20_24,934.144700
dza,2015,25_29,1685.330000
dza,2015,30_34,1677.241000
dza,2015,35_39,1455.192000
dza,2015,40_44,1223.120000
dza,2015,45_49,1038.710000
dza,2015,50_54,839.130100
dza,2015,55_59,519.680700
dza,2015,60_64,181.478500
dza,2015,65,82.424690
dza,2015,total_15,10255.790000
dza,2016,15_19,612.470500
dza,2016,20_24,905.845000
dza,2016,25_29,1679.472000
dza,2016,30_34,1700.411000
dza,2016,35_39,1507.178000
dza,2016,40_44,1261.306000
dza,2016,45_49,1068.388000
dza,2016,50_54,872.326300
dza,2016,55_59,544.261600
dza,2016,60_64,189.249300
dza,2016,65,86.542880
dza,2016,total_15,10427.450000
dza,2017,15_19,614.747700
dza,2017,20_24,868.696000
dza,2017,25_29,1672.464000
dza,2017,30_34,1710.201000
dza,2017,35_39,1561.377000
dza,2017,40_44,1300.639000
dza,2017,45_49,1097.645000
dza,2017,50_54,902.679400
dza,2017,55_59,574.078800
dza,2017,60_64,194.812800
dza,2017,65,91.286250
dza,2017,total_15,10588.630000
dza,2018,15_19,624.102100
dza,2018,20_24,828.850000
dza,2018,25_29,1660.626000
dza,2018,30_34,1709.991000
dza,2018,35_39,1613.929000
dza,2018,40_44,1341.940000
dza,2018,45_49,1127.577000
dza,2018,50_54,931.214000
dza,2018,55_59,606.982500
dza,2018,60_64,199.629700
dza,2018,65,96.477300
dza,2018,total_15,10741.320000
dza,2019,15_19,636.542600
dza,2019,20_24,795.682400
dza,2019,25_29,1637.488000
dza,2019,30_34,1705.347000
dza,2019,35_39,1658.957000
dza,2019,40_44,1386.423000
dza,2019,45_49,1159.668000
dza,2019,50_54,959.587100
dza,2019,55_59,639.537900
dza,2019,60_64,205.909700
dza,2019,65,101.829100
dza,2019,total_15,10886.970000
dza,2020,15_19,649.282200
dza,2020,20_24,775.060100
dza,2020,25_29,1599.777000
dza,2020,30_34,1699.426000
dza,2020,35_39,1692.658000
dza,2020,40_44,1434.328000
dza,2020,45_49,1194.753000
dza,2020,50_54,988.782000
dza,2020,55_59,669.679700
dza,2020,60_64,214.882100
dza,2020,65,107.196200
dza,2020,total_15,11025.820000
ago,2010,15_19,433.014500
ago,2010,20_24,617.078100
ago,2010,25_29,626.571100
ago,2010,30_34,533.110000
ago,2010,35_39,426.102300
ago,2010,40_44,345.599500
ago,2010,45_49,279.468700
ago,2010,50_54,215.025500
ago,2010,55_59,156.153900
ago,2010,60_64,94.390110
ago,2010,65,118.488400
ago,2010,total_15,3845.002000
ago,2011,15_19,448.526300
ago,2011,20_24,637.323800
ago,2011,25_29,648.200600
ago,2011,30_34,553.110400
ago,2011,35_39,442.211300
ago,2011,40_44,355.918500
ago,2011,45_49,288.130500
ago,2011,50_54,222.430900
ago,2011,55_59,161.965400
ago,2011,60_64,98.132340
ago,2011,65,122.512700
ago,2011,total_15,3978.463000
ago,2012,15_19,464.658900
ago,2012,20_24,657.636500
ago,2012,25_29,669.990000
ago,2012,30_34,572.900300
ago,2012,35_39,459.578400
ago,2012,40_44,366.353300
ago,2012,45_49,296.668700
ago,2012,50_54,230.152300
ago,2012,55_59,167.524400
ago,2012,60_64,102.611700
ago,2012,65,126.212400
ago,2012,total_15,4114.287000
ago,2013,15_19,481.777800
ago,2013,20_24,678.771200
ago,2013,25_29,692.289000
ago,2013,30_34,592.905400
ago,2013,35_39,478.056600
ago,2013,40_44,377.463600
ago,2013,45_49,305.332400
ago,2013,50_54,238.163900
ago,2013,55_59,173.103200
ago,2013,60_64,107.592200
ago,2013,65,129.839000
ago,2013,total_15,4255.294000
ago,2014,15_19,500.348300
ago,2014,20_24,701.935100
ago,2014,25_29,715.640600
ago,2014,30_34,613.829200
ago,2014,35_39,497.401800
ago,2014,40_44,390.077500
ago,2014,45_49,314.497200
ago,2014,50_54,246.427900
ago,2014,55_59,179.133500
ago,2014,60_64,112.746000
ago,2014,65,133.735300
ago,2014,total_15,4405.772000
ago,2015,15_19,520.317600
ago,2015,20_24,727.804000
ago,2015,25_29,740.318800
ago,2015,30_34,635.968000
ago,2015,35_39,517.363000
ago,2015,40_44,404.591300
ago,2015,45_49,324.364000
ago,2015,50_54,254.887200
ago,2015,55_59,185.811300
ago,2015,60_64,117.877600
ago,2015,65,138.081400
ago,2015,total_15,4567.384000
ago,2016,15_19,539.364700
ago,2016,20_24,753.207200
ago,2016,25_29,763.829300
ago,2016,30_34,657.123000
ago,2016,35_39,536.152200
ago,2016,40_44,419.453700
ago,2016,45_49,333.644700
ago,2016,50_54,262.394800
ago,2016,55_59,191.920500
ago,2016,60_64,122.042200
ago,2016,65,143.440800
ago,2016,total_15,4722.573000
ago,2017,15_19,560.318500
ago,2017,20_24,780.906400
ago,2017,25_29,788.823900
ago,2017,30_34,679.793300
ago,2017,35_39,555.841700
ago,2017,40_44,436.368000
ago,2017,45_49,343.747400
ago,2017,50_54,270.381500
ago,2017,55_59,198.747700
ago,2017,60_64,126.325500
ago,2017,65,149.155700
ago,2017,total_15,4890.410000
ago,2018,15_19,581.649800
ago,2018,20_24,810.718500
ago,2018,25_29,815.516300
ago,2018,30_34,703.714400
ago,2018,35_39,576.338100
ago,2018,40_44,454.790700
ago,2018,45_49,354.872800
ago,2018,50_54,278.816000
ago,2018,55_59,206.080000
ago,2018,60_64,130.838000
ago,2018,65,155.140800
ago,2018,total_15,5068.475000
ago,2019,15_19,600.893400
ago,2019,20_24,842.426500
ago,2019,25_29,844.207500
ago,2019,30_34,728.404200
ago,2019,35_39,597.490600
ago,2019,40_44,473.848900
ago,2019,45_49,367.286200
ago,2019,50_54,287.635500
ago,2019,55_59,213.594600
ago,2019,60_64,135.708700
ago,2019,65,161.244900
ago,2019,total_15,5252.741000
ago,2020,15_19,616.520200
ago,2020,20_24,875.834000
ago,2020,25_29,875.155600
ago,2020,30_34,753.648900
ago,2020,35_39,619.243100
ago,2020,40_44,493.037300
ago,2020,45_49,381.150800
ago,2020,50_54,296.854900
ago,2020,55_59,221.120500
ago,2020,60_64,140.999500
ago,2020,65,167.414300
ago,2020,total_15,5440.979000
arg,2010,15_19,484.158100
arg,2010,20_24,1265.572000
arg,2010,25_29,1477.314000
arg,2010,30_34,1553.241000
arg,2010,35_39,1304.282000
arg,2010,40_44,1131.010000
arg,2010,45_49,1035.848000
arg,2010,50_54,920.702200
arg,2010,55_59,789.630000
arg,2010,60_64,580.782900
arg,2010,65,433.848500
arg,2010,total_15,10976.390000
arg,2011,15_19,483.720700
arg,2011,20_24,1273.482000
arg,2011,25_29,1477.687000
arg,2011,30_34,1565.252000
arg,2011,35_39,1352.922000
arg,2011,40_44,1150.311000
arg,2011,45_49,1044.942000
arg,2011,50_54,929.405000
arg,2011,55_59,796.458600
arg,2011,60_64,592.346300
arg,2011,65,442.662400
arg,2011,total_15,11109.190000
arg,2012,15_19,482.783200
arg,2012,20_24,1281.319000
arg,2012,25_29,1486.383000
arg,2012,30_34,1559.892000
arg,2012,35_39,1411.058000
arg,2012,40_44,1173.326000
arg,2012,45_49,1053.655000
arg,2012,50_54,941.882900
arg,2012,55_59,801.670900
arg,2012,60_64,605.468400
arg,2012,65,451.622300
arg,2012,total_15,11249.060000
arg,2013,15_19,481.298700
arg,2013,20_24,1288.170000
arg,2013,25_29,1500.600000
arg,2013,30_34,1544.057000
arg,2013,35_39,1470.587000
arg,2013,40_44,1201.246000
arg,2013,45_49,1063.257000
arg,2013,50_54,956.507300
arg,2013,55_59,806.425800
arg,2013,60_64,619.103600
arg,2013,65,460.736100
arg,2013,total_15,11391.990000
arg,2014,15_19,479.199200
arg,2014,20_24,1292.991000
arg,2014,25_29,1515.239000
arg,2014,30_34,1529.376000
arg,2014,35_39,1519.103000
