country,year,age_group,mlf
afg,2007,60_64,161.197200
afg,2007,65,140.018500
afg,2007,total_15,6412.304000
afg,2008,15_19,751.267600
afg,2008,20_24,1152.247000
afg,2008,25_29,1072.319000
afg,2008,30_34,891.499700
afg,2008,35_39,735.206100
afg,2008,40_44,589.246200
afg,2008,45_49,469.105700
afg,2008,50_54,358.561000
afg,2008,55_59,260.496000
afg,2008,60_64,166.359300
afg,2008,65,143.575700
afg,2008,total_15,6589.883000
afg,2009,15_19,776.572100
afg,2009,20_24,1189.983000
afg,2009,25_29,1106.528000
afg,2009,30_34,917.181800
afg,2009,35_39,756.016600
afg,2009,40_44,606.366900
afg,2009,45_49,482.214100
afg,2009,50_54,368.894700
afg,2009,55_59,264.865800
afg,2009,60_64,171.423600
afg,2009,65,147.171100
afg,2009,total_15,6787.217000
afg,2010,15_19,806.116100
afg,2010,20_24,1233.229000
afg,2010,25_29,1145.444000
afg,2010,30_34,947.294000
afg,2010,35_39,779.732400
afg,2010,40_44,625.845800
afg,2010,45_49,497.603100
afg,2010,50_54,380.641000
afg,2010,55_59,271.415100
afg,2010,60_64,176.347600
afg,2010,65,151.087900
afg,2010,total_15,7014.756000
afg,2011,15_19,836.700000
afg,2011,20_24,1279.141000
afg,2011,25_29,1187.856000
afg,2011,30_34,980.495500
afg,2011,35_39,804.936800
afg,2011,40_44,646.243300
afg,2011,45_49,513.745400
afg,2011,50_54,392.474100
afg,2011,55_59,278.610900
afg,2011,60_64,180.067800
afg,2011,65,156.676600
afg,2011,total_15,7256.947000
afg,2012,15_19,872.054300
afg,2012,20_24,1330.308000
afg,2012,25_29,1235.670000
afg,2012,30_34,1018.862000
afg,2012,35_39,833.650800
afg,2012,40_44,669.573700
afg,2012,45_49,532.543300
afg,2012,50_54,406.201800
afg,2012,55_59,288.054700
afg,2012,60_64,183.956100
afg,2012,65,162.638600
afg,2012,total_15,7533.512000
afg,2013,15_19,909.483800
afg,2013,20_24,1386.032000
afg,2013,25_29,1287.627000
afg,2013,30_34,1061.214000
afg,2013,35_39,865.264000
afg,2013,40_44,695.053300
afg,2013,45_49,553.343200
afg,2013,50_54,421.473600
afg,2013,55_59,299.167900
afg,2013,60_64,188.326600
afg,2013,65,168.675800
afg,2013,total_15,7835.661000
afg,2014,15_19,945.077300
afg,2014,20_24,1445.596000
afg,2014,25_29,1342.157000
afg,2014,30_34,1105.852000
afg,2014,35_39,898.962300
afg,2014,40_44,721.655500
afg,2014,45_49,575.237900
afg,2014,50_54,437.861900
afg,2014,55_59,311.130200
afg,2014,60_64,193.596800
afg,2014,65,174.379700
afg,2014,total_15,8151.506000
afg,2015,15_19,976.528500
afg,2015,20_24,1508.373000
afg,2015,25_29,1398.375000
afg,2015,30_34,1151.667000
afg,2015,35_39,934.240200
afg,2015,40_44,748.794700
afg,2015,45_49,597.660200
afg,2015,50_54,455.084700
afg,2015,55_59,323.473500
afg,2015,60_64,199.966400
afg,2015,65,179.561800
afg,2015,total_15,8473.725000
afg,2016,15_19,1001.168000
afg,2016,20_24,1570.239000
afg,2016,25_29,1453.447000
afg,2016,30_34,1196.185000
afg,2016,35_39,968.599700
afg,2016,40_44,774.226900
afg,2016,45_49,618.260200
afg,2016,50_54,470.722700
afg,2016,55_59,334.059200
afg,2016,60_64,205.606200
afg,2016,65,185.789500
afg,2016,total_15,8778.304000
afg,2017,15_19,1022.205000
afg,2017,20_24,1635.579000
afg,2017,25_29,1509.691000
afg,2017,30_34,1242.451000
afg,2017,35_39,1005.025000
afg,2017,40_44,800.614400
afg,2017,45_49,639.815100
afg,2017,50_54,487.392000
afg,2017,55_59,345.272000
afg,2017,60_64,212.202600
afg,2017,65,191.420400
afg,2017,total_15,9091.668000
afg,2018,15_19,1040.862000
afg,2018,20_24,1701.280000
afg,2018,25_29,1567.851000
afg,2018,30_34,1290.623000
afg,2018,35_39,1043.434000
afg,2018,40_44,828.219700
afg,2018,45_49,662.309300
afg,2018,50_54,505.032300
afg,2018,55_59,357.227100
afg,2018,60_64,219.609900
afg,2018,65,196.611600
afg,2018,total_15,9413.060000
