country,year,age_group,flf0
alb,2016,65,16.013050
alb,2016,total_15,649.579100
alb,2017,15_19,45.886600
alb,2017,20_24,66.283390
alb,2017,25_29,91.843030
alb,2017,30_34,93.528860
alb,2017,35_39,80.673710
alb,2017,40_44,72.946910
alb,2017,45_49,69.051190
alb,2017,50_54,60.210750
alb,2017,55_59,35.844810
alb,2017,60_64,19.913040
alb,2017,65,16.395750
alb,2017,total_15,652.578000
alb,2018,15_19,44.619530
alb,2018,20_24,65.748510
alb,2018,25_29,89.034390
alb,2018,30_34,94.554360
alb,2018,35_39,85.394740
alb,2018,40_44,72.372510
alb,2018,45_49,69.031770
alb,2018,50_54,60.482490
alb,2018,55_59,35.327660
alb,2018,60_64,21.774160
alb,2018,65,16.838510
alb,2018,total_15,655.178600
alb,2019,15_19,43.287640
alb,2019,20_24,65.094310
alb,2019,25_29,86.326840
alb,2019,30_34,94.714540
alb,2019,35_39,89.798340
alb,2019,40_44,72.683290
alb,2019,45_49,68.856380
alb,2019,50_54,60.713010
alb,2019,55_59,34.758060
alb,2019,60_64,23.338460
alb,2019,65,17.382700
alb,2019,total_15,656.953600
alb,2020,15_19,41.922960
alb,2020,20_24,64.085740
alb,2020,25_29,84.132450
alb,2020,30_34,94.021100
alb,2020,35_39,93.241300
alb,2020,40_44,74.272220
alb,2020,45_49,68.486850
alb,2020,50_54,60.745260
alb,2020,55_59,34.413750
alb,2020,60_64,24.360600
alb,2020,65,18.057500
alb,2020,total_15,657.739700
dza,2010,15_19,113.509200
dza,2010,20_24,204.544000
dza,2010,25_29,419.767900
dza,2010,30_34,375.220200
dza,2010,35_39,271.029500
dza,2010,40_44,199.645400
dza,2010,45_49,132.994400
dza,2010,50_54,80.520000
dza,2010,55_59,67.488110
dza,2010,60_64,20.124760
dza,2010,65,6.346839
dza,2010,total_15,1891.190000
dza,2011,15_19,110.005000
dza,2011,20_24,203.704300
dza,2011,25_29,425.088500
dza,2011,30_34,388.105200
dza,2011,35_39,279.269800
dza,2011,40_44,205.405200
dza,2011,45_49,138.411400
dza,2011,50_54,84.352090
dza,2011,55_59,69.927020
dza,2011,60_64,21.421820
dza,2011,65,6.519452
dza,2011,total_15,1932.210000
dza,2012,15_19,105.516500
dza,2012,20_24,202.882800
dza,2012,25_29,427.320300
dza,2012,30_34,401.747300
dza,2012,35_39,287.876000
dza,2012,40_44,211.125900
dza,2012,45_49,143.415500
dza,2012,50_54,89.014790
dza,2012,55_59,71.850360
dza,2012,60_64,22.889420
dza,2012,65,6.711573
dza,2012,total_15,1970.351000
dza,2013,15_19,100.734000
dza,2013,20_24,201.515300
dza,2013,25_29,427.102400
dza,2013,30_34,414.987600
dza,2013,35_39,296.901900
dza,2013,40_44,216.919300
dza,2013,45_49,148.083400
dza,2013,50_54,94.153400
dza,2013,55_59,73.640790
dza,2013,60_64,24.414560
dza,2013,65,6.927648
dza,2013,total_15,2005.380000
dza,2014,15_19,96.753650
dza,2014,20_24,198.746500
dza,2014,25_29,425.721400
dza,2014,30_34,426.210400
dza,2014,35_39,306.518700
dza,2014,40_44,223.008800
dza,2014,45_49,152.626800
dza,2014,50_54,99.216380
dza,2014,55_59,75.925730
dza,2014,60_64,25.836910
dza,2014,65,7.175061
dza,2014,total_15,2037.740000
dza,2015,15_19,94.263570
dza,2015,20_24,194.169500
dza,2015,25_29,423.947800
dza,2015,30_34,434.390500
dza,2015,35_39,316.735600
dza,2015,40_44,229.536100
dza,2015,45_49,157.186700
dza,2015,50_54,103.858300
dza,2015,55_59,79.070880
dza,2015,60_64,27.067090
dza,2015,65,7.458642
dza,2015,total_15,2067.685000
dza,2016,15_19,93.211260
dza,2016,20_24,188.285600
dza,2016,25_29,422.344400
dza,2016,30_34,440.083400
